         2156267 function calls (2116685 primitive calls) in 15.867 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1582    0.003    0.000    0.008    0.000 artist.py:946(_update_property)
      558    0.003    0.000    0.003    0.000 {method 'transpose' of 'numpy.ndarray' objects}
     6148    0.003    0.000    0.003    0.000 {method 'split' of 'str' objects}
      256    0.003    0.000    0.041    0.000 axis.py:332(_apply_params)
      773    0.003    0.000    0.113    0.000 <frozen importlib._bootstrap_external>:1117(_get_spec)
     2543    0.003    0.000    0.007    0.000 enum.py:803(__and__)
     3329    0.003    0.000    0.004    0.000 lines.py:59(_scale_dashes)
      706    0.003    0.000    0.008    0.000 stride_tricks.py:206(broadcast_arrays)
      381    0.003    0.000    0.066    0.000 text.py:852(get_window_extent)
     7546    0.003    0.000    0.008    0.000 enum.py:267(__call__)
     1781    0.003    0.000    0.003    0.000 {method 'search' of '_sre.SRE_Pattern' objects}
      210    0.003    0.000    0.003    0.000 {method 'draw_glyphs_to_bitmap' of 'matplotlib.ft2font.FT2Font' objects}
    28596    0.003    0.000    0.003    0.000 {method 'lstrip' of 'str' objects}
     3010    0.003    0.000    0.011    0.000 <frozen importlib._bootstrap>:194(_lock_unlock_module)
     7533    0.002    0.000    0.003    0.000 enum.py:517(__new__)
    23494    0.002    0.000    0.002    0.000 {built-in method builtins.id}
     1557    0.002    0.000    0.024    0.000 lines.py:1243(set_markerfacecolor)
     8527    0.002    0.000    0.002    0.000 sre_parse.py:232(__next)
     4350    0.002    0.000    0.007    0.000 pyplot.py:578(_auto_draw_if_interactive)
      279    0.002    0.000    0.002    0.000 {built-in method numpy.frombuffer}
        2    0.002    0.001    0.003    0.002 __init__.py:363(set_visible)
    13003    0.002    0.000    0.002    0.000 {method 'get' of 'dict' objects}
     1116    0.002    0.000    0.005    0.000 rendering.py:205(enable)
      279    0.002    0.000    0.007    0.000 Image.py:734(tobytes)
     2896    0.002    0.000    0.006    0.000 artist.py:360(set_transform)
     2644    0.002    0.000    0.010    0.000 __init__.py:1382(_to_unmasked_float_array)
     3018    0.002    0.000    0.004    0.000 lines.py:1285(set_xdata)
     4316    0.002    0.000    0.014    0.000 figure.py:49(_stale_figure_callback)
       12    0.002    0.000    0.025    0.002 artist.py:1277(_get_setters_and_targets)
     5710    0.002    0.000    0.002    0.000 fromnumeric.py:74(<dictcomp>)
     1557    0.002    0.000    0.005    0.000 lines.py:1095(set_linewidth)
      279    0.002    0.000    0.659    0.002 transforms.py:127(__call__)
      558    0.002    0.000    0.003    0.000 Image.py:572(_new)
      806    0.002    0.000    0.005    0.000 font_manager.py:1058(score_family)
     1956    0.002    0.000    0.004    0.000 inspect.py:2452(__init__)
     4353    0.002    0.000    0.005    0.000 __init__.py:1340(is_interactive)
     3273    0.002    0.000    0.024    0.000 transforms.py:1236(__add__)
     2034    0.002    0.000    0.059    0.000 markers.py:223(__init__)
     4115    0.002    0.000    0.003    0.000 __init__.py:2023(<listcomp>)
      800    0.002    0.000    0.008    0.000 path.py:96(__init__)
       38    0.002    0.000    0.002    0.000 {built-in method io.open}
     1010    0.002    0.000    0.038    0.000 transforms.py:1950(rotate_deg_around)
      279    0.002    0.000    0.101    0.000 Image.py:1830(resize)
     1557    0.002    0.000    0.004    0.000 lines.py:1355(set_dash_joinstyle)
      682    0.002    0.000    0.003    0.000 inspect.py:2732(__init__)
     2034    0.002    0.000    0.003    0.000 markers.py:267(set_fillstyle)
      279    0.002    0.000    0.017    0.000 Image.py:2469(new)
      837    0.002    0.000    0.002    0.000 Image.py:547(__init__)
        1    0.002    0.002    0.005    0.005 png.py:36(<module>)
      279    0.002    0.000    0.003    0.000 __init__.py:657(__init__)
     1614    0.002    0.000    0.002    0.000 {built-in method _thread.allocate_lock}
      344    0.002    0.000    0.002    0.000 {method 'round' of 'numpy.ndarray' objects}
     1457    0.002    0.000    0.004    0.000 font_manager.py:757(set_style)
      477    0.002    0.000    0.017    0.000 lines.py:1330(update_from)
       52    0.002    0.000    1.074    0.021 __init__.py:1(<module>)
      446    0.002    0.000    0.003    0.000 ticker.py:577(__call__)
     8827    0.002    0.000    0.004    0.000 transforms.py:178(<lambda>)
     2480    0.002    0.000    0.002    0.000 {method 'expandtabs' of 'str' objects}
     3225    0.002    0.000    0.002    0.000 {built-in method _ctypes.POINTER}
      759    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:524(spec_from_file_location)
     1088    0.002    0.000    0.085    0.000 patches.py:209(get_transform)
     2181    0.002    0.000    0.006    0.000 {built-in method builtins.any}
     4461    0.002    0.000    0.020    0.000 contextlib.py:79(__enter__)
      279    0.002    0.000    3.105    0.011 03_DQN_training.py:138(render)
      628    0.002    0.000    0.002    0.000 {method 'to' of 'torch._C._TensorBase' objects}
     6277    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
     3272    0.002    0.000    0.007    0.000 colors.py:115(_is_nth_color)
      155    0.002    0.000    0.860    0.006 functional.py:1643(batch_norm)
     5686    0.002    0.000    0.003    0.000 sre_parse.py:163(__getitem__)
     3235    0.002    0.000    0.006    0.000 artist.py:905(set_visible)
     1057    0.002    0.000    0.006    0.000 transforms.py:2654(__init__)
      945    0.002    0.000    0.002    0.000 {built-in method matplotlib._path.affine_transform}
       23    0.002    0.000    0.426    0.019 _base.py:960(cla)
       78    0.002    0.000    0.002    0.000 {built-in method zeros}
      259    0.002    0.000    0.061    0.000 axis.py:484(_get_gridline)
     3902    0.002    0.000    0.003    0.000 function_base.py:257(iterable)
     1557    0.002    0.000    0.004    0.000 lines.py:1061(set_drawstyle)
       32    0.002    0.000    0.002    0.000 {built-in method builtins.dir}
      485    0.002    0.000    0.006    0.000 backend_bases.py:718(__init__)
      279    0.002    0.000    0.003    0.000 Image.py:440(_getdecoder)
     1275    0.002    0.000    0.013    0.000 fromnumeric.py:55(_wrapfunc)
     2204    0.002    0.000    0.009    0.000 __init__.py:111(WINFUNCTYPE)
     1010    0.002    0.000    0.005    0.000 patches.py:747(_convert_units)
     1557    0.002    0.000    0.006    0.000 lines.py:648(set_data)
     3969    0.002    0.000    0.005    0.000 artist.py:170(convert_xunits)
     3251    0.002    0.000    0.006    0.000 re.py:169(match)
      385    0.002    0.000    0.003    0.000 sre_compile.py:250(_optimize_charset)
      800    0.002    0.000    0.003    0.000 path.py:188(_update_values)
      320    0.002    0.000    0.027    0.000 font_manager.py:1179(findfont)
     1557    0.002    0.000    0.015    0.000 lines.py:1257(set_markerfacecoloralt)
      259    0.002    0.000    0.030    0.000 axis.py:425(_get_text1)
     1557    0.002    0.000    0.004    0.000 lines.py:1415(set_solid_capstyle)
      252    0.002    0.000    0.057    0.000 axis.py:602(_get_gridline)
        1    0.002    0.002    0.153    0.153 rendering.py:3(<module>)
      279    0.002    0.000    0.043    0.000 Image.py:2508(frombytes)
  259/237    0.002    0.000    0.075    0.000 axis.py:458(_get_tick1line)
      263    0.002    0.000    0.016    0.000 03_DQN_training.py:144(take_action)
      279    0.002    0.000    0.004    0.000 rendering.py:302(render1)
     1009    0.002    0.000    0.006    0.000 transforms.py:994(__init__)
     1105    0.002    0.000    0.012    0.000 transforms.py:788(from_extents)
      700    0.002    0.000    0.003    0.000 functools.py:44(update_wrapper)
     1557    0.002    0.000    0.003    0.000 lines.py:1370(set_solid_joinstyle)
      310    0.002    0.000    0.168    0.001 functional.py:1355(linear)
      446    0.002    0.000    0.002    0.000 transforms.py:2867(_interval_contains_close)
       48    0.002    0.000    0.021    0.000 _base.py:2425(handle_single_axis)
     2967    0.002    0.000    0.003    0.000 lines.py:1297(set_ydata)
    36/32    0.002    0.000    0.009    0.000 {built-in method _imp.exec_dynamic}
3938/2749    0.002    0.000    0.006    0.000 {built-in method builtins.hash}
      104    0.002    0.000    0.004    0.000 ticker.py:691(_compute_offset)
      565    0.002    0.000    0.008    0.000 text.py:823(get_prop_tup)
    13234    0.002    0.000    0.002    0.000 {method 'rstrip' of 'str' objects}
     2246    0.002    0.000    0.029    0.000 inspect.py:595(getdoc)
      723    0.002    0.000    0.080    0.000 <frozen importlib._bootstrap_external>:485(_compile_bytecode)
     7005    0.002    0.000    0.003    0.000 sre_parse.py:253(get)
       12    0.002    0.000    0.002    0.000 {method 'clear' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
      252    0.002    0.000    0.027    0.000 axis.py:543(_get_text1)
     1629    0.002    0.000    0.002    0.000 lines.py:31(_get_dash_pattern)
      280    0.002    0.000    0.035    0.000 scale.py:86(set_default_locators_and_formatters)
      778    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:318(__exit__)
       64    0.002    0.000    0.002    0.000 {built-in method torch._C._nn.mse_loss}
     1788    0.002    0.000    0.012    0.000 __init__.py:775(__setitem__)
      279    0.002    0.000    0.002    0.000 {built-in method from_buffer}
     1151    0.002    0.000    0.003    0.000 text.py:1122(set_verticalalignment)
      642    0.002    0.000    0.013    0.000 inspect.py:2183(_signature_from_callable)
     2555    0.002    0.000    0.007    0.000 axis.py:325(_set_artist_props)
  252/230    0.002    0.000    0.067    0.000 axis.py:573(_get_tick1line)
      279    0.002    0.000    0.005    0.000 <__array_function__ internals>:2(transpose)
      996    0.002    0.000    0.012    0.000 transforms.py:762(unit)
     1457    0.002    0.000    0.003    0.000 font_manager.py:767(set_variant)
     2127    0.002    0.000    0.026    0.000 __init__.py:73(CFUNCTYPE)
      375    0.002    0.000    0.004    0.000 colors.py:185(_to_rgba_no_colorcycle)
      946    0.002    0.000    0.004    0.000 text.py:809(get_unitless_position)
      279    0.002    0.000    0.002    0.000 {method 'encode' of 'ImagingEncoder' objects}
        1    0.002    0.002    0.004    0.004 dds.py:38(<module>)
  259/237    0.002    0.000    0.068    0.000 axis.py:469(_get_tick2line)
     1452    0.002    0.000    0.002    0.000 {method 'rsplit' of 'str' objects}
  778/774    0.001    0.000    0.112    0.000 <frozen importlib._bootstrap>:564(module_from_spec)
     1557    0.001    0.000    0.005    0.000 lines.py:733(set_transform)
      310    0.001    0.000    0.169    0.001 linear.py:86(forward)
      279    0.001    0.000    0.105    0.000 functional.py:221(resize)
      420    0.001    0.000    0.001    0.000 {method 'round' of 'numpy.generic' objects}
      280    0.001    0.000    0.022    0.000 ticker.py:1971(set_params)
      591    0.001    0.000    0.017    0.000 transforms.py:1377(transform)
  580/226    0.001    0.000    0.023    0.000 sre_parse.py:407(_parse_sub)
     4037    0.001    0.000    0.009    0.000 artist.py:974(<listcomp>)
