         2719936 function calls (2672071 primitive calls) in 31.928 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      272    0.003    0.000    0.003    0.000 {method 'draw_glyphs_to_bitmap' of 'matplotlib.ft2font.FT2Font' objects}
     1392    0.003    0.000    0.011    0.000 gl_info.py:102(<genexpr>)
       12    0.003    0.000    0.003    0.000 {method 'uniform_' of 'torch._C._TensorBase' objects}
     3867    0.003    0.000    0.009    0.000 artist.py:360(set_transform)
      493    0.003    0.000    0.075    0.000 text.py:852(get_window_extent)
      391    0.003    0.000    0.003    0.000 {built-in method numpy.frombuffer}
     5750    0.003    0.000    0.019    0.000 figure.py:49(_stale_figure_callback)
    36078    0.003    0.000    0.003    0.000 {method 'append' of 'list' objects}
      782    0.003    0.000    0.005    0.000 Image.py:572(_new)
     2078    0.003    0.000    0.032    0.000 lines.py:1243(set_markerfacecolor)
     3488    0.003    0.000    0.014    0.000 __init__.py:1382(_to_unmasked_float_array)
    26985    0.003    0.000    0.003    0.000 {method 'lower' of 'str' objects}
     4037    0.003    0.000    0.006    0.000 lines.py:1285(set_xdata)
        2    0.003    0.002    0.015    0.008 font_manager.py:1240(_findfont_cached)
     5799    0.003    0.000    0.007    0.000 __init__.py:1340(is_interactive)
     7564    0.003    0.000    0.003    0.000 fromnumeric.py:74(<dictcomp>)
      391    0.003    0.000    0.010    0.000 Image.py:734(tobytes)
        1    0.003    0.003    0.011    0.011 {built-in method torch._C._initExtension}
2347/1107    0.003    0.000    0.004    0.000 sre_parse.py:173(getwidth)
      956    0.003    0.000    0.003    0.000 {method 'to' of 'torch._C._TensorBase' objects}
      391    0.003    0.000    0.004    0.000 __init__.py:657(__init__)
     2078    0.003    0.000    0.007    0.000 lines.py:1095(set_linewidth)
     2708    0.003    0.000    0.080    0.000 markers.py:223(__init__)
     1371    0.003    0.000    0.051    0.000 transforms.py:1950(rotate_deg_around)
     1173    0.003    0.000    0.003    0.000 Image.py:547(__init__)
     4413    0.003    0.000    0.033    0.000 transforms.py:1236(__add__)
    779/9    0.003    0.000    0.966    0.107 <frozen importlib._bootstrap>:651(_load_unlocked)
     5796    0.003    0.000    0.010    0.000 pyplot.py:578(_auto_draw_if_interactive)
     5502    0.003    0.000    0.004    0.000 __init__.py:2023(<listcomp>)
     5871    0.003    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:59(<listcomp>)
