         2135722 function calls (2096018 primitive calls) in 12.126 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     8190    0.009    0.000    0.014    0.000 __init__.py:2018(_setattr_cm)
      268    0.014    0.000    0.014    0.000 {method 'decode' of 'ImagingDecoder' objects}
        1    0.000    0.000    0.014    0.014 rpn.py:2(<module>)
     4436    0.003    0.000    0.014    0.000 contextlib.py:157(helper)
  169/132    0.014    0.000    0.014    0.000 __init__.py:634(f)
        1    0.000    0.000    0.014    0.014 multiarray.py:7(<module>)
     3187    0.005    0.000    0.013    0.000 transforms.py:2299(__init__)
        6    0.000    0.000    0.013    0.002 _utils.py:1(<module>)
     1545    0.006    0.000    0.013    0.000 lines.py:1146(set_linestyle)
        1    0.000    0.000    0.013    0.013 _backend_tk.py:1(<module>)
        1    0.000    0.000    0.013    0.013 __init__.py:1079(script)
      588    0.003    0.000    0.013    0.000 inspect.py:1089(getfullargspec)
       24    0.000    0.000    0.013    0.001 _base.py:2918(tick_params)
       12    0.000    0.000    0.013    0.001 pyplot.py:251(show)
       12    0.000    0.000    0.013    0.001 deprecation.py:404(wrapper)
        1    0.000    0.000    0.013    0.013 03_DQN_training.py:128(__init__)
        1    0.000    0.000    0.013    0.013 index_tricks.py:1(<module>)
        1    0.000    0.000    0.013    0.013 registration.py:155(make)
        1    0.000    0.000    0.013    0.013 registration.py:95(make)
     1056    0.006    0.000    0.013    0.000 transforms.py:1914(rotate)
       27    0.003    0.000    0.013    0.000 __init__.py:909(_rc_params_in_file)
      252    0.001    0.000    0.013    0.000 03_DQN_training.py:148(take_action)
     4278    0.002    0.000    0.012    0.000 figure.py:49(_stale_figure_callback)
       12    0.000    0.000    0.012    0.001 backend_bases.py:3276(show)
       12    0.000    0.000    0.012    0.001 figure.py:405(show)
     1096    0.002    0.000    0.012    0.000 transforms.py:788(from_extents)
       12    0.000    0.000    0.012    0.001 _backend_tk.py:537(show)
        4    0.000    0.000    0.012    0.003 linear.py:1(<module>)
      319    0.012    0.000    0.012    0.000 {built-in method builtins.compile}
        1    0.003    0.003    0.012    0.012 {built-in method torch._C._initExtension}
     4743    0.004    0.000    0.012    0.000 transforms.py:126(invalidate)
      642    0.001    0.000    0.012    0.000 inspect.py:2183(_signature_from_callable)
      501    0.000    0.000    0.012    0.000 re.py:179(search)
     8723    0.007    0.000    0.012    0.000 transforms.py:1683(__init__)
     1072    0.001    0.000    0.012    0.000 lib.py:116(errcheck_glend)
      576    0.001    0.000    0.012    0.000 transforms.py:2371(transform_affine)
        1    0.000    0.000    0.012    0.012 __init__.py:124(<module>)
      104    0.000    0.000    0.012    0.000 ticker.py:257(format_ticks)
      277    0.002    0.000    0.011    0.000 base.py:293(set_current)
        2    0.000    0.000    0.011    0.006 frontend.py:159(get_jit_def)
        1    0.000    0.000    0.011    0.011 overrides.py:1(<module>)
      996    0.001    0.000    0.011    0.000 transforms.py:762(unit)
        2    0.000    0.000    0.011    0.006 __init__.py:6(<module>)
        2    0.000    0.000    0.011    0.006 conv.py:2(<module>)
     3549    0.004    0.000    0.011    0.000 transforms.py:1819(__init__)
     1446    0.004    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:263(cache_from_source)
        1    0.000    0.000    0.011    0.011 _pickle.py:1(<module>)
      104    0.000    0.000    0.011    0.000 backend_agg.py:119(draw_path)
       24    0.000    0.000    0.011    0.000 axis.py:715(__init__)
     4436    0.009    0.000    0.010    0.000 contextlib.py:59(__init__)
      268    0.010    0.000    0.010    0.000 {built-in method from_numpy}
     1788    0.001    0.000    0.010    0.000 __init__.py:775(__setitem__)
      310    0.001    0.000    0.010    0.000 text.py:257(update_from)
        2    0.000    0.000    0.010    0.005 03_DQN_training.py:139(close)
        2    0.000    0.000    0.010    0.005 cartpole.py:190(close)
        2    0.000    0.000    0.010    0.005 rendering.py:70(close)
